"Causa - CID-BR-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";35680;92273;231051;83068;44595;486667
". 001 Doenças infecciosas intestinais";397;1382;1435;518;273;4005
"... 003 Diarréia e gastroenterite orig infec pres";302;920;1025;342;178;2767
"... 004 Outras doenças infecciosas intestinais";95;462;410;176;95;1238
". 005-006 Tuberculose";492;1422;2285;628;293;5120
"... 005 Tuberculose respiratória";454;1314;2088;556;259;4671
"... 006 Outras tuberculoses";38;108;197;72;34;449
". 007-015 Outras doenças bacterianas";1862;7568;14306;3188;1110;28034
"... 008 Leptospirose";18;72;84;47;4;225
"... 009 Hanseníase";24;58;27;11;22;142
"... 010 Tétano";7;16;9;17;6;55
"..... 010.3 Tétano acidental";7;16;9;17;6;55
"... 011 Difteria";-;2;-;-;-;2
"... 012 Coqueluche";-;1;-;-;-;1
"... 013 Infecção meningocócica";8;13;41;6;1;69
"... 014 Septicemia";1312;6088;12610;2801;891;23702
"... 015 Infecções com transmissão predom sexual";45;71;133;44;22;315
". 016-023 Doenças virais";1634;3202;5619;2874;1095;14424
"... 018 Dengue";16;35;62;33;61;207
"... 019 Febre amarela";3;-;-;3;2;8
"... 020 Out febres p/arbovírus e febr hemor virais";25;93;103;18;53;292
"... 021 Sarampo";3;-;-;-;-;3
"... 022 Hepatite viral";190;278;804;337;112;1721
"... 023 Doen p/vírus da imunodefic humana (HIV)";1362;2655;4380;2372;815;11584
". 024-027 Doenças transmitidas por protozoários";188;1157;2046;205;994;4590
"... 024 Malária";52;5;1;1;2;61
"... 025 Leishmaniose";41;128;42;5;20;236
"... 026 Doença de Chagas";70;987;1954;185;963;4159
"... 027 Toxoplasmose";23;26;29;7;7;92
". 028-030 Helmintíases";13;319;170;17;15;534
"... 028 Esquistossomose";1;277;134;-;4;416
"... 029 Cisticercose";2;26;23;12;7;70
"... 030 Restante de helmintíases";10;16;13;5;4;48
". 031 Restante algumas doenç infec e parasitárias";31094;77223;205190;75638;40815;429960
"032-052 NEOPLASIAS";12156;52810;110148;44989;15702;235805
". 032 Neopl malig do lábio, cav oral e faringe";316;1912;3852;1387;596;8063
". 033 Neoplasia maligna do esôfago";311;1889;3754;1935;541;8430
". 034 Neoplasia maligna do estômago";1213;3364;6328;2529;826;14260
". 035 Neoplasia maligna do cólon,reto e ânus";740;3410;11362;4321;1429;21262
". 036 Neopl malig do fígado e vias bil intrahepát";700;2617;4582;2036;663;10598
". 037 Neoplasia maligna do pâncreas";437;2262;5981;2498;796;11974
". 038 Neoplasia maligna da laringe";212;1023;2175;828;324;4562
". 039 Neopl malig da traquéia,brônquios e pulmões";1288;5629;13179;6873;1998;28967
". 040 Neoplasia maligna da pele";67;299;778;583;105;1832
". 041 Neoplasia maligna da mama";808;4212;8967;3186;1188;18361
". 042 Neoplasia maligna do colo do útero";865;2117;2144;989;491;6606
". 043 Neopl malig de corpo e partes n/esp útero";185;908;2015;618;281;4007
". 044 Neoplasia maligna do ovário";185;931;1915;720;286;4037
". 045 Neoplasia maligna da próstata";924;4462;6880;2867;1168;16301
". 046 Neoplasia maligna da bexiga";153;809;2603;1066;298;4929
". 047 Neopl malig mening,encéf e out partes SNC";530;2153;4321;1951;729;9684
". 048 Linfoma não-Hodgkin";163;915;2040;902;294;4314
". 049 Mieloma mult e neopl malig de plasmócitos";141;703;1818;571;228;3461
". 050 Leucemia";425;1549;3005;1300;537;6816
". 051 Neoplasias in situ, benig, comport incert";312;1322;2447;645;315;5041
". 052 Restante de neoplasias malignas";2181;10324;20002;7184;2609;42300
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";561;2013;3419;842;461;7296
". 053 Anemias";386;1368;2263;487;280;4784
". 054 Rest d sangue, org hemat e alg transt imunit";175;645;1156;355;181;2512
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";6512;29072;39968;15465;5801;96818
". 055 Diabetes mellitus";5273;23874;31753;12928;4430;78258
". 056 Desnutrição";529;1716;1651;469;352;4717
". 057 Rest doenças endócr, nutricion e metabólicas";710;3482;6564;2068;1019;13843
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";662;5431;8183;2823;1310;18409
". 058 Transt ment e comport uso subst psicoativas";434;4096;4671;2087;945;12233
"... 058.1 Trans ment e comport devid uso álcool";309;2947;3364;1504;706;8830
". 059 Rest transtornos mentais e comportamentais";228;1335;3512;736;365;6176
"060-063 DOENÇAS DO SISTEMA NERVOSO";1937;10642;23310;10547;3091;49527
". 060 Meningite";40;114;274;107;39;574
". 061 Doença de Alzheimer";713;5219;12892;5212;1506;25542
". 062 Epilepsia";230;1118;1784;697;339;4168
". 063 Restante das doenças do sistema nervoso";954;4191;8360;4531;1207;19243
"064 DOENÇAS DOS OLHOS E ANEXOS";3;7;11;2;1;24
"065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE";15;46;73;17;5;156
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";21279;99733;177183;58508;25804;382507
". 066 Febre reumát aguda e doen reum crôn coração";136;645;942;372;205;2300
". 067 Doenças hipertensivas";3542;20319;30432;10091;4145;68529
". 068 Doenças isquêmicas do coração";6668;30161;53386;16936;8538;115689
"... 068.1 Infarto agudo do miocárdio";6071;25644;44373;12684;7040;95812
". 069 Outras doenças cardíacas";3477;16157;39163;11296;4934;75027
". 070 Doenças cerebrovasculares";6832;28525;44283;16767;6647;103054
". 071 Aterosclerose";17;249;396;90;47;799
". 072 Rest doenças do aparelho circulatório";607;3677;8581;2956;1288;17109
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";9085;34453;69906;20089;8935;142468
". 073 Influenza (gripe)";149;392;713;113;46;1413
". 074 Pneumonia";4831;15368;34646;7884;4045;66774
". 075 Out infec agudas das vias aéreas inferiores";65;578;422;131;50;1246
"... 075.1 Bronquiolite";23;65;169;39;23;319
". 076 Doenças crônicas das vias aéreas inferiores";2076;7690;17195;8787;3364;39112
