Causa - CID-BR-10;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
001-031 ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS;24113;69227;122551;30276;21120;267287
001 DOENCAS INFECCIOSAS INTESTINAIS;357;1467;1493;545;264;4126
003 DIARREIA E GASTROENTERITE ORIG INFEC PRES;300;1079;1160;374;202;3115
004 OUTRAS DOENCAS INFECCIOSAS INTESTINAIS;57;388;333;171;62;1011
004.1 FEBRES TIFOIDE E PARATIFOIDE;;1;1;;;2
005-006 TUBERCULOSE;502;1271;2033;503;260;4569
005 TUBERCULOSE RESPIRATORIA;466;1176;1854;435;229;4160
006 OUTRAS TUBERCULOSES;36;95;179;68;31;409
007-015 OUTRAS DOENCAS BACTERIANAS;1643;6652;12610;2807;1077;24789
008 LEPTOSPIROSE;27;67;105;31;3;233
009 HANSENIASE;13;62;20;10;11;116
010 TETANO;9;25;14;12;6;66
010.3 TETANO ACIDENTAL;9;25;14;12;6;66
012 COQUELUCHE;2;1;1;1;;5
013 INFECCAO MENINGOCOCICA;5;16;46;9;6;82
014 SEPTICEMIA;1149;5199;11040;2392;873;20653
015 INFECCOES COM TRANSMISSAO PREDOM SEXUAL;41;68;126;37;26;298
016-023 DOENCAS VIRAIS;1529;3104;5661;2673;1005;13972
018 DENGUE;10;27;111;125;119;392
019 FEBRE AMARELA;;;;2;;2
020 OUT FEBRES P/ARBOVIRUS E FEBR HEMOR VIRAIS;21;107;156;74;63;421
021 SARAMPO;12;;3;;;15
022 HEPATITE VIRAL;231;314;835;400;96;1876
023 DOEN P/VIRUS DA IMUNODEFIC HUMANA (HIV);1209;2519;4293;1973;672;10666
024-027 DOENCAS TRANSMITIDAS POR PROTOZOARIOS;160;1130;2087;205;1006;4588
024 MALARIA;39;3;5;2;2;51
025 LEISHMANIOSE;37;131;34;6;30;238
026 DOENCA DE CHAGAS;75;966;1979;181;964;4165
027 TOXOPLASMOSE;7;17;36;13;5;78
028-030 HELMINTIASES;15;347;185;22;23;592
028 ESQUISTOSSOMOSE;5;313;150;6;8;482
029 CISTICERCOSE;1;17;23;9;11;61
030 RESTANTE DE HELMINTIASES;9;17;12;7;4;49
031 RESTANTE ALGUMAS DOENC INFEC E PARASITARIAS;19907;55256;98482;23521;17485;214651
032-052 NEOPLASIAS;11777;51705;106972;43480;15366;229300
032 NEOPL MALIG DO LABIO, CAV ORAL E FARINGE;341;1992;3695;1341;569;7938
033 NEOPLASIA MALIGNA DO ESOFAGO;280;1808;3803;1845;571;8307
034 NEOPLASIA MALIGNA DO ESTOMAGO;1197;3341;6075;2389;848;13850
035 NEOPLASIA MALIGNA DO COLON,RETO E ANUS;753;3238;10794;4041;1419;20245
036 NEOPL MALIG DO FIGADO E VIAS BIL INTRAHEPAT;661;2761;4585;2048;709;10764
037 NEOPLASIA MALIGNA DO PANCREAS;447;2185;5878;2548;835;11893
038 NEOPLASIA MALIGNA DA LARINGE;204;1073;2093;810;298;4478
039 NEOPL MALIG DA TRAQUEIA,BRONQUIOS E PULMOES;1271;5578;13110;6744;1917;28620
040 NEOPLASIA MALIGNA DA PELE;47;289;852;619;116;1923
041 NEOPLASIA MALIGNA DA MAMA;792;4059;8912;3070;1199;18032
042 NEOPLASIA MALIGNA DO COLO DO UTERO;877;2058;2198;952;542;6627
043 NEOPL MALIG DE CORPO E PARTES N/ESP UTERO;181;818;1973;572;223;3767
044 NEOPLASIA MALIGNA DO OVARIO;168;908;1868;685;292;3921
045 NEOPLASIA MALIGNA DA PROSTATA;886;4558;6571;2687;1139;15841
046 NEOPLASIA MALIGNA DA BEXIGA;149;786;2454;924;282;4595
047 NEOPL MALIG MENING,ENCEF E OUT PARTES SNC;520;2003;4202;1961;669;9355
048 LINFOMA NAO-HODGKIN;170;897;1909;937;278;4191
049 MIELOMA MULT E NEOPL MALIG DE PLASMOCITOS;108;721;1778;568;232;3407
050 LEUCEMIA;406;1573;2939;1287;533;6738
051 NEOPLASIAS IN SITU, BENIG, COMPORT INCERT;297;1215;2123;593;243;4471
052 RESTANTE DE NEOPLASIAS MALIGNAS;2022;9844;19160;6859;2452;40337
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT;510;1888;3080;702;416;6596
053 ANEMIAS;378;1319;2050;437;251;4435
054 REST D SANGUE, ORG HEMAT E ALG TRANST IMUNIT;132;569;1030;265;165;2161
055-057 D ENDOCRINAS, NUTRICIONAIS E METABOLICAS;6843;29343;37198;13726;5639;92749
055 DIABETES MELLITUS;5705;24348;29809;11451;4399;75712
056 DESNUTRICAO;467;1768;1597;498;334;4664
057 REST DOENCAS ENDOCR, NUTRICION E METABOLICAS;671;3227;5792;1777;906;12373
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS;630;5345;7587;2395;1211;17168
058 TRANST MENT E COMPORT USO SUBST PSICOATIVAS;423;4144;4440;1831;956;11794
058.1 TRANS MENT E COMPORT DEVID USO ALCOOL;299;3041;3157;1307;726;8530
059 REST TRANSTORNOS MENTAIS E COMPORTAMENTAIS;207;1201;3147;564;255;5374
